variable_name,tax_year,form_type,total_rows,populated_rows,fill_rate,status,notes
analysis_is_hospital,2022,990,1120,1102,0.983929,available,
analysis_is_hospital,2022,990EZ,582,562,0.965636,available,
analysis_is_hospital,2022,990PF,170,166,0.976471,available,
analysis_is_hospital,2023,990,1070,1052,0.983178,available,
analysis_is_hospital,2023,990EZ,568,549,0.966549,available,
analysis_is_hospital,2023,990PF,284,278,0.978873,available,
analysis_is_hospital,2024,990,249,244,0.97992,available,
analysis_is_hospital,2024,990EZ,279,272,0.97491,available,
analysis_is_hospital,2024,990PF,58,56,0.965517,available,
analysis_is_university,2022,990,1120,1102,0.983929,available,
analysis_is_university,2022,990EZ,582,562,0.965636,available,
analysis_is_university,2022,990PF,170,166,0.976471,available,
analysis_is_university,2023,990,1070,1052,0.983178,available,
analysis_is_university,2023,990EZ,568,549,0.966549,available,
analysis_is_university,2023,990PF,284,278,0.978873,available,
analysis_is_university,2024,990,249,244,0.97992,available,
analysis_is_university,2024,990EZ,279,272,0.97491,available,
analysis_is_university,2024,990PF,58,56,0.965517,available,
analysis_is_political_org,2022,990,1120,1102,0.983929,available,
analysis_is_political_org,2022,990EZ,582,562,0.965636,available,
analysis_is_political_org,2022,990PF,170,166,0.976471,available,
analysis_is_political_org,2023,990,1070,1052,0.983178,available,
analysis_is_political_org,2023,990EZ,568,549,0.966549,available,
analysis_is_political_org,2023,990PF,284,278,0.978873,available,
analysis_is_political_org,2024,990,249,244,0.97992,available,
analysis_is_political_org,2024,990EZ,279,272,0.97491,available,
analysis_is_political_org,2024,990PF,58,56,0.965517,available,
analysis_imputed_is_hospital,2022,990,1120,1120,1.0,available,
analysis_imputed_is_hospital,2022,990EZ,582,582,1.0,available,
analysis_imputed_is_hospital,2022,990PF,170,170,1.0,available,
analysis_imputed_is_hospital,2023,990,1070,1070,1.0,available,
analysis_imputed_is_hospital,2023,990EZ,568,568,1.0,available,
analysis_imputed_is_hospital,2023,990PF,284,284,1.0,available,
analysis_imputed_is_hospital,2024,990,249,249,1.0,available,
analysis_imputed_is_hospital,2024,990EZ,279,279,1.0,available,
analysis_imputed_is_hospital,2024,990PF,58,58,1.0,available,
analysis_imputed_is_university,2022,990,1120,1120,1.0,available,
analysis_imputed_is_university,2022,990EZ,582,582,1.0,available,
analysis_imputed_is_university,2022,990PF,170,170,1.0,available,
analysis_imputed_is_university,2023,990,1070,1070,1.0,available,
analysis_imputed_is_university,2023,990EZ,568,568,1.0,available,
analysis_imputed_is_university,2023,990PF,284,284,1.0,available,
analysis_imputed_is_university,2024,990,249,249,1.0,available,
analysis_imputed_is_university,2024,990EZ,279,279,1.0,available,
analysis_imputed_is_university,2024,990PF,58,58,1.0,available,
analysis_imputed_is_political_org,2022,990,1120,1120,1.0,available,
analysis_imputed_is_political_org,2022,990EZ,582,582,1.0,available,
analysis_imputed_is_political_org,2022,990PF,170,170,1.0,available,
analysis_imputed_is_political_org,2023,990,1070,1070,1.0,available,
analysis_imputed_is_political_org,2023,990EZ,568,568,1.0,available,
analysis_imputed_is_political_org,2023,990PF,284,284,1.0,available,
analysis_imputed_is_political_org,2024,990,249,249,1.0,available,
analysis_imputed_is_political_org,2024,990EZ,279,279,1.0,available,
analysis_imputed_is_political_org,2024,990PF,58,58,1.0,available,
analysis_ntee_code,2022,990,1120,1102,0.983929,available,
analysis_ntee_code,2022,990EZ,582,562,0.965636,available,
analysis_ntee_code,2022,990PF,170,166,0.976471,available,
analysis_ntee_code,2023,990,1070,1052,0.983178,available,
analysis_ntee_code,2023,990EZ,568,549,0.966549,available,
analysis_ntee_code,2023,990PF,284,278,0.978873,available,
analysis_ntee_code,2024,990,249,244,0.97992,available,
analysis_ntee_code,2024,990EZ,279,272,0.97491,available,
analysis_ntee_code,2024,990PF,58,56,0.965517,available,
analysis_calculated_ntee_broad_code,2022,990,1120,1102,0.983929,available,
analysis_calculated_ntee_broad_code,2022,990EZ,582,562,0.965636,available,
analysis_calculated_ntee_broad_code,2022,990PF,170,166,0.976471,available,
analysis_calculated_ntee_broad_code,2023,990,1070,1052,0.983178,available,
analysis_calculated_ntee_broad_code,2023,990EZ,568,549,0.966549,available,
analysis_calculated_ntee_broad_code,2023,990PF,284,278,0.978873,available,
analysis_calculated_ntee_broad_code,2024,990,249,244,0.97992,available,
analysis_calculated_ntee_broad_code,2024,990EZ,279,272,0.97491,available,
analysis_calculated_ntee_broad_code,2024,990PF,58,56,0.965517,available,
analysis_subsection_code,2022,990,1120,1111,0.991964,available,
analysis_subsection_code,2022,990EZ,582,568,0.975945,available,
analysis_subsection_code,2022,990PF,170,169,0.994118,available,
analysis_subsection_code,2023,990,1070,1062,0.992523,available,
analysis_subsection_code,2023,990EZ,568,556,0.978873,available,
analysis_subsection_code,2023,990PF,284,283,0.996479,available,
analysis_subsection_code,2024,990,249,245,0.983936,available,
analysis_subsection_code,2024,990EZ,279,275,0.985663,available,
analysis_subsection_code,2024,990PF,58,58,1.0,available,
analysis_total_revenue_amount,2022,990,1120,1120,1.0,available,
analysis_total_revenue_amount,2022,990EZ,582,576,0.989691,available,
analysis_total_revenue_amount,2022,990PF,170,170,1.0,available,
analysis_total_revenue_amount,2023,990,1070,1070,1.0,available,
analysis_total_revenue_amount,2023,990EZ,568,562,0.989437,available,
analysis_total_revenue_amount,2023,990PF,284,284,1.0,available,
analysis_total_revenue_amount,2024,990,249,249,1.0,available,
analysis_total_revenue_amount,2024,990EZ,279,278,0.996416,available,
analysis_total_revenue_amount,2024,990PF,58,58,1.0,available,
analysis_total_expense_amount,2022,990,1120,1120,1.0,available,
analysis_total_expense_amount,2022,990EZ,582,568,0.975945,available,
analysis_total_expense_amount,2022,990PF,170,170,1.0,available,
analysis_total_expense_amount,2023,990,1070,1070,1.0,available,
analysis_total_expense_amount,2023,990EZ,568,553,0.973592,available,
analysis_total_expense_amount,2023,990PF,284,284,1.0,available,
analysis_total_expense_amount,2024,990,249,249,1.0,available,
analysis_total_expense_amount,2024,990EZ,279,270,0.967742,available,
analysis_total_expense_amount,2024,990PF,58,58,1.0,available,
analysis_program_service_revenue_amount,2022,990,1120,809,0.722321,available,
analysis_program_service_revenue_amount,2022,990EZ,582,319,0.54811,available,
analysis_program_service_revenue_amount,2022,990PF,170,0,0.0,available,
analysis_program_service_revenue_amount,2023,990,1070,793,0.741121,available,
analysis_program_service_revenue_amount,2023,990EZ,568,304,0.535211,available,
analysis_program_service_revenue_amount,2023,990PF,284,0,0.0,available,
analysis_program_service_revenue_amount,2024,990,249,170,0.682731,available,
analysis_program_service_revenue_amount,2024,990EZ,279,146,0.523297,available,
analysis_program_service_revenue_amount,2024,990PF,58,0,0.0,available,
analysis_calculated_surplus_amount,2022,990,1120,1120,1.0,available,
analysis_calculated_surplus_amount,2022,990EZ,582,567,0.974227,available,
analysis_calculated_surplus_amount,2022,990PF,170,170,1.0,available,
analysis_calculated_surplus_amount,2023,990,1070,1070,1.0,available,
analysis_calculated_surplus_amount,2023,990EZ,568,549,0.966549,available,
analysis_calculated_surplus_amount,2023,990PF,284,284,1.0,available,
analysis_calculated_surplus_amount,2024,990,249,249,1.0,available,
analysis_calculated_surplus_amount,2024,990EZ,279,269,0.964158,available,
analysis_calculated_surplus_amount,2024,990PF,58,58,1.0,available,
analysis_cash_contributions_amount,2022,990,1120,1009,0.900893,available,
analysis_cash_contributions_amount,2022,990EZ,582,0,0.0,available,
analysis_cash_contributions_amount,2022,990PF,170,0,0.0,available,
analysis_cash_contributions_amount,2023,990,1070,966,0.902804,available,
analysis_cash_contributions_amount,2023,990EZ,568,0,0.0,available,
analysis_cash_contributions_amount,2023,990PF,284,0,0.0,available,
analysis_cash_contributions_amount,2024,990,249,216,0.86747,available,
analysis_cash_contributions_amount,2024,990EZ,279,0,0.0,available,
analysis_cash_contributions_amount,2024,990PF,58,0,0.0,available,
analysis_noncash_contributions_amount,2022,990,1120,246,0.219643,available,
analysis_noncash_contributions_amount,2022,990EZ,582,0,0.0,available,
analysis_noncash_contributions_amount,2022,990PF,170,0,0.0,available,
analysis_noncash_contributions_amount,2023,990,1070,243,0.227103,available,
analysis_noncash_contributions_amount,2023,990EZ,568,0,0.0,available,
analysis_noncash_contributions_amount,2023,990PF,284,0,0.0,available,
analysis_noncash_contributions_amount,2024,990,249,59,0.236948,available,
analysis_noncash_contributions_amount,2024,990EZ,279,0,0.0,available,
analysis_noncash_contributions_amount,2024,990PF,58,0,0.0,available,
analysis_other_contributions_amount,2022,990,1120,866,0.773214,available,
analysis_other_contributions_amount,2022,990EZ,582,0,0.0,available,
analysis_other_contributions_amount,2022,990PF,170,0,0.0,available,
analysis_other_contributions_amount,2023,990,1070,823,0.769159,available,
analysis_other_contributions_amount,2023,990EZ,568,0,0.0,available,
analysis_other_contributions_amount,2023,990PF,284,0,0.0,available,
analysis_other_contributions_amount,2024,990,249,187,0.751004,available,
analysis_other_contributions_amount,2024,990EZ,279,0,0.0,available,
analysis_other_contributions_amount,2024,990PF,58,0,0.0,available,
analysis_foundation_grants_amount,2022,990,1120,291,0.259821,available,
analysis_foundation_grants_amount,2022,990EZ,582,0,0.0,available,
analysis_foundation_grants_amount,2022,990PF,170,0,0.0,available,
analysis_foundation_grants_amount,2023,990,1070,280,0.261682,available,
analysis_foundation_grants_amount,2023,990EZ,568,0,0.0,available,
analysis_foundation_grants_amount,2023,990PF,284,0,0.0,available,
analysis_foundation_grants_amount,2024,990,249,68,0.273092,available,
analysis_foundation_grants_amount,2024,990EZ,279,0,0.0,available,
analysis_foundation_grants_amount,2024,990PF,58,0,0.0,available,
analysis_government_grants_amount,2022,990,1120,455,0.40625,available,
analysis_government_grants_amount,2022,990EZ,582,0,0.0,available,
analysis_government_grants_amount,2022,990PF,170,0,0.0,available,
analysis_government_grants_amount,2023,990,1070,419,0.391589,available,
analysis_government_grants_amount,2023,990EZ,568,0,0.0,available,
analysis_government_grants_amount,2023,990PF,284,0,0.0,available,
analysis_government_grants_amount,2024,990,249,94,0.37751,available,
analysis_government_grants_amount,2024,990EZ,279,0,0.0,available,
analysis_government_grants_amount,2024,990PF,58,0,0.0,available,
analysis_other_grant_component_amount,2022,990,1120,396,0.353571,available,
analysis_other_grant_component_amount,2022,990EZ,582,0,0.0,available,
analysis_other_grant_component_amount,2022,990PF,170,0,0.0,available,
analysis_other_grant_component_amount,2023,990,1070,383,0.357944,available,
analysis_other_grant_component_amount,2023,990EZ,568,0,0.0,available,
analysis_other_grant_component_amount,2023,990PF,284,0,0.0,available,
analysis_other_grant_component_amount,2024,990,249,66,0.26506,available,
analysis_other_grant_component_amount,2024,990EZ,279,0,0.0,available,
analysis_other_grant_component_amount,2024,990PF,58,0,0.0,available,
analysis_calculated_total_contributions_amount,2022,990,1120,1009,0.900893,available,
analysis_calculated_total_contributions_amount,2022,990EZ,582,0,0.0,available,
analysis_calculated_total_contributions_amount,2022,990PF,170,0,0.0,available,
analysis_calculated_total_contributions_amount,2023,990,1070,966,0.902804,available,
analysis_calculated_total_contributions_amount,2023,990EZ,568,0,0.0,available,
analysis_calculated_total_contributions_amount,2023,990PF,284,0,0.0,available,
analysis_calculated_total_contributions_amount,2024,990,249,216,0.86747,available,
analysis_calculated_total_contributions_amount,2024,990EZ,279,0,0.0,available,
analysis_calculated_total_contributions_amount,2024,990PF,58,0,0.0,available,
analysis_calculated_grants_total_amount,2022,990,1120,1120,1.0,available,
analysis_calculated_grants_total_amount,2022,990EZ,582,0,0.0,available,
analysis_calculated_grants_total_amount,2022,990PF,170,0,0.0,available,
analysis_calculated_grants_total_amount,2023,990,1070,1070,1.0,available,
analysis_calculated_grants_total_amount,2023,990EZ,568,0,0.0,available,
analysis_calculated_grants_total_amount,2023,990PF,284,0,0.0,available,
analysis_calculated_grants_total_amount,2024,990,249,249,1.0,available,
analysis_calculated_grants_total_amount,2024,990EZ,279,0,0.0,available,
analysis_calculated_grants_total_amount,2024,990PF,58,0,0.0,available,
analysis_calculated_grants_share_of_revenue_ratio,2022,990,1120,1109,0.990179,available,
analysis_calculated_grants_share_of_revenue_ratio,2022,990EZ,582,0,0.0,available,
analysis_calculated_grants_share_of_revenue_ratio,2022,990PF,170,0,0.0,available,
analysis_calculated_grants_share_of_revenue_ratio,2023,990,1070,1059,0.98972,available,
analysis_calculated_grants_share_of_revenue_ratio,2023,990EZ,568,0,0.0,available,
analysis_calculated_grants_share_of_revenue_ratio,2023,990PF,284,0,0.0,available,
analysis_calculated_grants_share_of_revenue_ratio,2024,990,249,248,0.995984,available,
analysis_calculated_grants_share_of_revenue_ratio,2024,990EZ,279,0,0.0,available,
analysis_calculated_grants_share_of_revenue_ratio,2024,990PF,58,0,0.0,available,
analysis_grants_share_of_revenue_quality_flag,2022,990,1120,1120,1.0,available,
analysis_grants_share_of_revenue_quality_flag,2022,990EZ,582,582,1.0,available,
analysis_grants_share_of_revenue_quality_flag,2022,990PF,170,170,1.0,available,
analysis_grants_share_of_revenue_quality_flag,2023,990,1070,1070,1.0,available,
analysis_grants_share_of_revenue_quality_flag,2023,990EZ,568,568,1.0,available,
analysis_grants_share_of_revenue_quality_flag,2023,990PF,284,284,1.0,available,
analysis_grants_share_of_revenue_quality_flag,2024,990,249,249,1.0,available,
analysis_grants_share_of_revenue_quality_flag,2024,990EZ,279,279,1.0,available,
analysis_grants_share_of_revenue_quality_flag,2024,990PF,58,58,1.0,available,
