output_column,source_family,rows_total,rows_nonnull,fill_rate,distinct_nonnull_count,column_group,example_source_column
row_source_family,givingtuesday_datamart,4381,4381,1.0,1,row_provenance,
row_source_family,nccs_bmf,29793,29793,1.0,1,row_provenance,
row_source_family,nccs_efile,3866,3866,1.0,1,row_provenance,
row_source_family,nccs_postcard,3461,3461,1.0,1,row_provenance,
row_source_variant,givingtuesday_datamart,4381,4381,1.0,1,row_provenance,
row_source_variant,nccs_bmf,29793,29793,1.0,5,row_provenance,
row_source_variant,nccs_efile,3866,3866,1.0,3,row_provenance,
row_source_variant,nccs_postcard,3461,3461,1.0,1,row_provenance,
row_source_file_name,givingtuesday_datamart,4381,4381,1.0,1,row_provenance,
row_source_file_name,nccs_bmf,29793,29793,1.0,5,row_provenance,
row_source_file_name,nccs_efile,3866,3866,1.0,3,row_provenance,
row_source_file_name,nccs_postcard,3461,3461,1.0,1,row_provenance,
row_source_file_path,givingtuesday_datamart,4381,4381,1.0,1,row_provenance,
row_source_file_path,nccs_bmf,29793,29793,1.0,5,row_provenance,
row_source_file_path,nccs_efile,3866,3866,1.0,3,row_provenance,
row_source_file_path,nccs_postcard,3461,3461,1.0,1,row_provenance,
row_source_row_number,givingtuesday_datamart,4381,4381,1.0,4381,row_provenance,
row_source_row_number,nccs_bmf,29793,29793,1.0,6244,row_provenance,
row_source_row_number,nccs_efile,3866,3866,1.0,1701,row_provenance,
row_source_row_number,nccs_postcard,3461,3461,1.0,3461,row_provenance,
row_source_time_basis,givingtuesday_datamart,4381,4381,1.0,1,row_provenance,
row_source_time_basis,nccs_bmf,29793,29793,1.0,1,row_provenance,
row_source_time_basis,nccs_efile,3866,3866,1.0,1,row_provenance,
row_source_time_basis,nccs_postcard,3461,3461,1.0,1,row_provenance,
row_source_snapshot_year,givingtuesday_datamart,4381,0,0.0,0,row_provenance,
row_source_snapshot_year,nccs_bmf,29793,29793,1.0,5,row_provenance,
row_source_snapshot_year,nccs_efile,3866,0,0.0,0,row_provenance,
row_source_snapshot_year,nccs_postcard,3461,3461,1.0,1,row_provenance,
row_source_snapshot_month,givingtuesday_datamart,4381,0,0.0,0,row_provenance,
row_source_snapshot_month,nccs_bmf,29793,24193,0.8120363843855939,4,row_provenance,
row_source_snapshot_month,nccs_efile,3866,0,0.0,0,row_provenance,
row_source_snapshot_month,nccs_postcard,3461,3461,1.0,3,row_provenance,
harm_ein,givingtuesday_datamart,4381,4381,1.0,2238,harmonized,ein
harm_ein,nccs_bmf,29793,29793,1.0,7448,harmonized,EIN
harm_ein,nccs_efile,3866,3866,1.0,1935,harmonized,F9_00_ORG_EIN
harm_ein,nccs_postcard,3461,3461,1.0,3461,harmonized,ein
harm_tax_year,givingtuesday_datamart,4381,4381,1.0,3,harmonized,tax_year
harm_tax_year,nccs_bmf,29793,29793,1.0,5,harmonized,bmf_snapshot_year
harm_tax_year,nccs_efile,3866,3866,1.0,3,harmonized,F9_00_TAX_YEAR
harm_tax_year,nccs_postcard,3461,3461,1.0,4,harmonized,tax_year
harm_filing_form,givingtuesday_datamart,4381,4381,1.0,3,harmonized,form_type
harm_filing_form,nccs_bmf,29793,0,0.0,0,harmonized,
harm_filing_form,nccs_efile,3866,3866,1.0,2,harmonized,F9_00_RETURN_TYPE
harm_filing_form,nccs_postcard,3461,3461,1.0,1,harmonized,literal:990N
harm_org_name,givingtuesday_datamart,4381,4381,1.0,2293,harmonized,FILERNAME1
harm_org_name,nccs_bmf,29793,29793,1.0,6590,harmonized,NAME
harm_org_name,nccs_efile,3866,3866,1.0,2053,harmonized,F9_00_ORG_NAME_L1
harm_org_name,nccs_postcard,3461,3461,1.0,2870,harmonized,legal_name
harm_state,givingtuesday_datamart,4381,4381,1.0,4,harmonized,FILERUSSTATE
harm_state,nccs_bmf,29793,29793,1.0,4,harmonized,STATE
harm_state,nccs_efile,3866,3866,1.0,4,harmonized,F9_00_ORG_ADDR_STATE
harm_state,nccs_postcard,3461,3461,1.0,4,harmonized,organization_state
harm_zip5,givingtuesday_datamart,4381,4381,1.0,124,harmonized,zip5
