column_order,column_name,source_file,source_url,note
1,ein,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_990/postcard/raw/snapshot_year=2026/snapshot_month=2026-03/2026-03-E-POSTCARD.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/e-postcard/2026-03-E-POSTCARD.csv,Inferred from the NCCS raw e-Postcard CSV header; field definitions come from the IRS 990-N data dictionary PDF.
2,tax_year,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_990/postcard/raw/snapshot_year=2026/snapshot_month=2026-03/2026-03-E-POSTCARD.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/e-postcard/2026-03-E-POSTCARD.csv,Inferred from the NCCS raw e-Postcard CSV header; field definitions come from the IRS 990-N data dictionary PDF.
3,legal_name,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_990/postcard/raw/snapshot_year=2026/snapshot_month=2026-03/2026-03-E-POSTCARD.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/e-postcard/2026-03-E-POSTCARD.csv,Inferred from the NCCS raw e-Postcard CSV header; field definitions come from the IRS 990-N data dictionary PDF.
4,gross_receipts_under_25000,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_990/postcard/raw/snapshot_year=2026/snapshot_month=2026-03/2026-03-E-POSTCARD.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/e-postcard/2026-03-E-POSTCARD.csv,Inferred from the NCCS raw e-Postcard CSV header; field definitions come from the IRS 990-N data dictionary PDF.
5,terminated,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_990/postcard/raw/snapshot_year=2026/snapshot_month=2026-03/2026-03-E-POSTCARD.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/e-postcard/2026-03-E-POSTCARD.csv,Inferred from the NCCS raw e-Postcard CSV header; field definitions come from the IRS 990-N data dictionary PDF.
6,tax_period_begin_date,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_990/postcard/raw/snapshot_year=2026/snapshot_month=2026-03/2026-03-E-POSTCARD.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/e-postcard/2026-03-E-POSTCARD.csv,Inferred from the NCCS raw e-Postcard CSV header; field definitions come from the IRS 990-N data dictionary PDF.
7,tax_period_end_date,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_990/postcard/raw/snapshot_year=2026/snapshot_month=2026-03/2026-03-E-POSTCARD.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/e-postcard/2026-03-E-POSTCARD.csv,Inferred from the NCCS raw e-Postcard CSV header; field definitions come from the IRS 990-N data dictionary PDF.
8,website,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_990/postcard/raw/snapshot_year=2026/snapshot_month=2026-03/2026-03-E-POSTCARD.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/e-postcard/2026-03-E-POSTCARD.csv,Inferred from the NCCS raw e-Postcard CSV header; field definitions come from the IRS 990-N data dictionary PDF.
9,officer_name,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_990/postcard/raw/snapshot_year=2026/snapshot_month=2026-03/2026-03-E-POSTCARD.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/e-postcard/2026-03-E-POSTCARD.csv,Inferred from the NCCS raw e-Postcard CSV header; field definitions come from the IRS 990-N data dictionary PDF.
10,officer_address_line_1,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_990/postcard/raw/snapshot_year=2026/snapshot_month=2026-03/2026-03-E-POSTCARD.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/e-postcard/2026-03-E-POSTCARD.csv,Inferred from the NCCS raw e-Postcard CSV header; field definitions come from the IRS 990-N data dictionary PDF.
