column_order,column_name,source_file,source_url,note
1,EIN,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
2,NAME,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
3,ICO,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
4,STREET,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
5,CITY,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
6,STATE,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
7,ZIP,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
8,GROUP,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
9,SUBSECTION,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
10,AFFILIATION,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
11,CLASSIFICATION,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
12,RULING,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
13,DEDUCTIBILITY,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
14,FOUNDATION,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
15,ACTIVITY,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
16,ORGANIZATION,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
17,STATUS,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
18,TAX_PERIOD,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
19,ASSET_CD,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
20,INCOME_CD,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
21,FILING_REQ_CD,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
22,PF_FILING_REQ_CD,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
23,ACCT_PD,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
24,ASSET_AMT,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
25,INCOME_AMT,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
26,REVENUE_AMT,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
27,NTEE_CD,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
28,SORT_NAME,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
29,REGION,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
30,RYEAR,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
31,ID,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2026/2026-03-BMF.csv,https://nccsdata.s3.us-east-1.amazonaws.com/raw/bmf/2026-03-BMF.csv,Header dictionary for the latest locally downloaded NCCS raw monthly BMF file; field definitions come from the IRS EO BMF PDF.
