source_table_index,PREFIX,VARIABLE_NAME,DESCRIPTION,LOCATION_CODE,SCOPE
1,F9_00_,BUILD_TIME_STAMP,Build time stamp - IRS internal field,F990-PC-PART-00-LINE-00,HD
1,F9_00_,NAME_ORG_CTRL,Name of Filing Organization (Control Text),F990-PC-PART-00-LINE-00,HD
1,F9_00_,RETURN_TIME_STAMP,The date and time when the return was created,F990-PC-PART-00-LINE-00,HD
1,F9_00_,RETURN_TYPE,Return type,F990-PC-PART-00-LINE-00,HD
1,F9_00_,SPECIAL_COND_DESC,Special condition description,F990-PC-PART-00-LINE-00; F990-EZ-PART-00-LINE-00,HD
1,F9_00_,DISASTER_RELIEF,Disaster relief text,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,FORM_8822B_X,Change of address form?,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_RESP_PARTY_INFO_CURR_X,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_SEC_DEVICE_ID,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_SEC_FILING_LIC_TYPE,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_SEC_IP_ADDR,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_SEC_IP_DATE,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_SEC_IP_TIME_ZONE,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_SEC_IP_TIME,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_SEC_SUBMISSION_ID,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_TRUST_AUTENTICATED_X,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_TRUST_CUSTOMER_X,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_TRUST_FED_ASSURANCE_X,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_TRUST_IDENTITY_X,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_TRUST_OOB_VERIFIED_X,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_TRUST_PROFILE_CHANGE_X,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_TRUST_PW_CHANGE_X,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_TRUST_RQR_OOB_X,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,IRS_TRUST_USRNAME_CHANGE_X,Verification,F990-PC-PART-00-SECTION-99,HD
1,F9_00_,REASONABLE_CAUSE_TXT,"If the return isn’t filed by the due date (including any extension granted), provide a reasonable-cause explanation giving the reasons for not filing on time.",F990-PC-PART-00-SECTION-99,HD
1,F9_00_,TAX_PERIOD_BEGIN_DATE,Tax period begin date,F990-PC-PART-00-SECTION-A,HD
1,F9_00_,TAX_PERIOD_END_DATE,Tax period end date,F990-PC-PART-00-SECTION-A,HD
1,F9_00_,TAX_YEAR,Tax year,F990-PC-PART-00-SECTION-A,HD
1,F9_00_,ORG_NAME_CHANGE_X,Indicates that the organization changed its name,F990-PC-PART-00-SECTION-B; F990-EZ-PART-00-SECTION-B,HD
1,F9_00_,RETURN_ADDR_CHANGE_X,Indicates this form has an address change,F990-PC-PART-00-SECTION-B; F990-EZ-PART-00-SECTION-B,HD
1,F9_00_,RETURN_AMENDED_X,Inidcates this form is an amended return,F990-PC-PART-00-SECTION-B; F990-EZ-PART-00-SECTION-B,HD
1,F9_00_,RETURN_APP_PENDING_X,Application pending,F990-PC-PART-00-SECTION-B; F990-EZ-PART-00-SECTION-B,PZ
1,F9_00_,RETURN_FINAL_X,Indicates this return is a final return,F990-PC-PART-00-SECTION-B; F990-EZ-PART-00-SECTION-B,HD
1,F9_00_,RETURN_INITIAL_X,Indicates this is an initial return,F990-PC-PART-00-SECTION-B; F990-EZ-PART-00-SECTION-B,HD
1,F9_00_,ORG_ADDR_CITY,Address of Filing Organization (Foreign City),F990-PC-PART-00-SECTION-C; F990-EZ-PART-00-SECTION-C,HD
1,F9_00_,ORG_ADDR_CNTR,Address of Filing Organization (Foreign Country),F990-PC-PART-00-SECTION-C,HD
1,F9_00_,ORG_ADDR_IN_CARE_OF,In care of,F990-PC-PART-00-SECTION-C,HD
1,F9_00_,ORG_ADDR_L1,Address of Filing Organization (Foreign Line 1),F990-PC-PART-00-SECTION-C; F990-EZ-PART-00-SECTION-C,HD
1,F9_00_,ORG_ADDR_L2,Address of Filing Organization (Foreign Line 2),F990-PC-PART-00-SECTION-C,HD
1,F9_00_,ORG_ADDR_STATE,Address of Filing Organization (Foreign Province or State),F990-PC-PART-00-SECTION-C; F990-EZ-PART-00-SECTION-C,HD
