bucket,key,size_bytes,last_modified_utc,layer,family,role,target_family
swb-321-irs990-teos,bronze/acs/acs5_full_2024.csv,210982,2026-04-22T00:56:56+00:00,bronze,acs,data,False
swb-321-irs990-teos,bronze/acs/acs5_profile_2024.csv,317347,2026-04-22T00:56:56+00:00,bronze,acs,data,False
swb-321-irs990-teos,bronze/acs/acs5_subject_2024.csv,207978,2026-04-22T00:56:56+00:00,bronze,acs,data,False
swb-321-irs990-teos,bronze/bls/qcew-nonprofits-2022.xlsx,2472733,2026-04-05T20:14:13+00:00,bronze,bls,documentation,False
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/curated_output_size_verification_report.csv,2956,2026-03-28T19:56:54+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/datamart_catalog.csv,14798,2026-03-18T19:11:07+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/datamart_catalog.md,14196,2026-03-18T19:11:08+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/datamart_catalog_raw.json,42596,2026-03-29T19:45:08+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/datamart_fields.csv,238445,2026-03-18T19:11:10+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/datamart_fields.md,157412,2026-03-18T19:11:11+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/download_state_manifest.json,1364,2026-03-28T19:56:54+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/gt_pipeline_artifact_manifest.csv,12397,2026-03-28T19:56:54+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/gt_pipeline_artifact_manifest.json,16834,2026-03-28T19:56:54+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/raw_bronze_upload_state.json,6134,2026-03-28T19:56:55+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/raw_size_verification_state.json,2720,2026-03-28T19:56:55+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/required_datasets_manifest.csv,1917,2026-03-18T19:11:12+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/run_990_datamart_pipeline_summary.json,1683,2026-03-28T19:56:55+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/schema_snapshot_basic_allforms_filtered.json,6442,2026-03-28T19:56:55+00:00,bronze,givingtuesday_990,metadata,True
swb-321-irs990-teos,bronze/givingtuesday_990/datamarts/metadata/schema_snapshot_filings_filtered.json,6516,2026-03-28T19:56:56+00:00,bronze,givingtuesday_990,metadata,True
